idx,date_time,proposal_id,target_id,obsid,object,ra,dec,ins,abstract,PI
190,2019-02-05 08:32:06,A05_103,T01,A05_103T01_9000002700,NGC 4066,181.039125,20.347806,uvit1,The discovery of a novel FUV lobes and jets around NGC 6302 by UVIT opened a new window into the study of planetary nebulae. We would like to further this study to more young planetary nebulae.,nkrao
191,2019-02-05 15:04:45,A05_194,T05,A05_194T05_9000002702,SDSS J124815+174626,192.063458,17.774011,uvit1,"Requested observation: We propose for a regular-pointing program to study the host galaxies of Tidal Disruption Events (TDEs), distributed within redshift 0.1 using ASTROSAT/UVIT instrument. Total requested time to observe 4 objects using UVIT is 15 ks. Context: Recent developments in ‘Time domain Astronomy’ have discovered several new kinds of luminous transients near the center of galaxies. The diversities in the behavior of these nuclear transients are yet not well explained. The natures of their hosts can shed light on the diversity of nuclear transients. Objectives & Expected scientific results: These observations will lead to determine several physical parameters (e.g., stellar mass, dust content, Star Formation History, Black Hole mass) of the host galaxy. This study will constrain the TDE models and will also help to understand the diverse properties of nuclear transients.",RupakRoy
192,2019-02-05 20:07:13,T03_014,T01,T03_014T01_9000002704,UGC9273,217.045250,13.551580,uvit1,,
193,2019-02-06 12:24:00,A05_176,T05,A05_176T05_9000002706,NGC5546offset,214.584258,7.592529,uvit1,"Elliptical galaxies have wide variation in their FUV-NUV color, the cause of which has puzzled astronomers for decades. The FUV-NUV color correlates with Mg2 spectral index but the explanation has been elusive. Solving the puzzle requires a large dataset with both UV imaging and optical spectroscopy with the same spatial resolution and coverage. Previous UV imaging by GALEX has too poor a spatial resolution to match ground-based single-fiber spectrsocopy from SDSS. With the advance of optical integral field spectroscopy providing spatial resolution at 2.5\arcsec\ for nearby galaxies, we urgently need high quality FUV images with similar spatial resolution. Therefore, we propose ASTROSAT/UVIT observations to obtain high resolution FUV images for a pilot sample of 3 ellipticals, complemented with NUV images from Swift, to measure the FUV-NUV color gradients and correlate them with stellar population properties (age, metallicity, chemical abundance) measured from spectroscopy to understand UV color variations among ellipticals.",renbin
194,2019-02-06 15:39:30,A05_063,T02,A05_063T02_9000002708,A1367b,175.712375,20.442181,uvit2,"Defying traditional wisdom, several star-forming galaxies have been discovered in galaxy clusters in the last decade. These galaxies are a rare class of transition objects “caught in the act”, and therefore provide essential clues for understanding the evolution of galaxies from being actively star-forming spirals and irregulars in low-density environments, to passively-evolving spheroids in the core of groups and clusters. We propose to image 4 such star-forming galaxies falling into clusters with UVIT. Together with the ancillary optical and infrared data, we will use the AstroSat data to explore the extent of the low surface brightness tidal features and the impact of gas loss on the morphology of the infalling galaxies. We will also study star formation efficiency in these galaxies undergoing tidal stress.",smriti
195,2019-02-07 10:57:18,A05_160,T02,A05_160T02_9000002710,PKS 1222+216,186.226250,21.382278,sxt,"Blazars dominates the extra galactic sky in gamma-ray. The physical mechanism behind the high energy gamma-ray emission is still unknown. Multi-wavelength SED shows two characteristic broad humps, one in IR to X-ray and other in X-ray to gamma-ray band. We propose 60 ks observations each of CTA 102 and PKS 1222+216(4C +21.35), total observations is 120 ks. These sources have shown the minute scale variability in gamma-ray energies (Shukla et al. 2018; Aleksic et al. 2011), which challenges the existing standard emission models of blazars. Since AstroSat have UV, soft and hard X-ray instruments on board, it will be a great opportunity to study the variability in UV and X-ray along with simultaneous observation from Fermi at gamma-ray energies. The simultaneous observations from UVIT, SXT, LAXC and CZTI will be used to study the broad band SED, which will tell us about the physical processes happening in jets of blazars.",raj
196,2019-02-08 19:14:12,T03_003,T01,T03_003T01_9000002712,AGC 229361 (original T02),186.668708,19.754389,uvit1,,
197,2019-02-09 21:35:30,C04_009,T03,C04_009T03_9000002714,NGC 188,12.080000,85.223917,uvit1,"This object needs to be observed at regular intervals to track the sensitivity of the instrument. Suggested observations: , 15 October 2018, 15 November 2018, 15 December 2018, 15 January 2018, 15 February 2018, 15 March 2018, 15 April 2018. 15 May 2018. 15 June 2018, 15 July 2018, 15 August 2018 and 15 September 2018.",annapurni
198,2019-02-10 05:25:27,C04_001,T01,C04_001T01_9000002716,Blank Sky-8,237.391917,70.348089,laxpc1,"The LAXPC instrument has a large detection volume which gives rise to high background rate. Further, observations during the last two years have shown that the background rate is not constant, but varies during each orbit and also has some long term variation which is not properly understood. In order to produce a robust LAXPC background model we need frequent observations of the blank sky for at least one day which cover entire latitude and longitude range of the AstroSat orbit. These observations are important to analyse data of faint sources like AGNs, Blazars, etc., whose count rates are less than 10% of the LAXPC instrument background. Many of these sources have count rates less than 1% of the background. We propose observation of the Blank Sky-8 during December 2018, March 2019, June 2019 and September 2019.",tilak
199,2019-02-11 06:20:00,A05_019,T01,A05_019T01_9000002718,1H 0323+342,51.171250,34.179444,sxt,"Radio-loud AGN are associated with strongly collimated jets, the origin of which remains unclear. The RL-NLS1s are a special class of RL-AGN characterized by low black hole mass, high accretion rate, and relativistic jet emission. We aim to study the gamma-ray detected RL-NLS1/NLS1-blazar 1H~0323+342. The highly variable emissions from disc/corona component and relativistic jet make the source ideal to investigate the disc-jet connection. We plan coordinated monitoring observations of the source with AstroSat in the X-ray/UV bands, and VLA & GMRT in the radio band. We request for three multi-wavelength observations of 1H~0323+342, separated by 10 days, after 2019 January 22. In each observation, we request a 25~ks exposure with SXT. Using the simultaneous multi-wavelength data of the source, we will (i)derive the broadband SED, and (ii)study the disc-jet coupling by investigating the correlated variability of UV/X-ray properties associated with accretion flow and radio properties related to the jet emission.",savithri
200,2019-02-13 09:55:04,A06_006,T01,A06_006T01_9000002720,AUDFLs,53.123708,-27.735364,uvit1,"We propose AstroSat-UVIT Deep Field Legacy (AUDFL) survey for two deep fields covering the GOODS-South and North using its far-ultraviolet imaging camera. Such a deep wide-field FUV observation is essential to finding compact, low-mass-star-forming galaxies (LSFGs) that are potential Lyman continuum (LyC) leakers at the intermediate redshift range. Detection of LyC leakers holds the key to our understanding of the level of ionizing radiation in our universe - playing a major role in the cosmological modelling of galaxy formation. Currently, there has been no direct detection of such sources between redshift ~ 0.5 - 2.5. Based on the data analysis of previous UVIT deep field, and proposed 190 kilosec observation, we will be in a position to detect several LyC leakers in that redshift-window and construct their space density. We will also construct multi-wavelength SEDs from FUV-to-IR and study the physical properties e.g., stellar-population, age and metallicity of these LSFGs.",sntandon
201,2019-02-19 21:50:00,T03_083,T01,T03_083T01_9000002722,MAXI J1348-630,207.053042,-63.274111,laxpc1,,
202,2019-02-20 01:20:00,A06_006,T01,A06_006T01_9000002724,AUDFLs,53.123708,-27.735364,uvit1,"We propose AstroSat-UVIT Deep Field Legacy (AUDFL) survey for two deep fields covering the GOODS-South and North using its far-ultraviolet imaging camera. Such a deep wide-field FUV observation is essential to finding compact, low-mass-star-forming galaxies (LSFGs) that are potential Lyman continuum (LyC) leakers at the intermediate redshift range. Detection of LyC leakers holds the key to our understanding of the level of ionizing radiation in our universe - playing a major role in the cosmological modelling of galaxy formation. Currently, there has been no direct detection of such sources between redshift ~ 0.5 - 2.5. Based on the data analysis of previous UVIT deep field, and proposed 190 kilosec observation, we will be in a position to detect several LyC leakers in that redshift-window and construct their space density. We will also construct multi-wavelength SEDs from FUV-to-IR and study the physical properties e.g., stellar-population, age and metallicity of these LSFGs.",sntandon
203,2019-02-21 11:00:22,A05_094,T01,A05_094T01_9000002726,mrk 382,118.855400,39.186150,uvit1,"%\rm{Mrk 382} is a bright narrow-line Seyfert 1 galaxy having a mass $\sim3\times10^{6}M_{\odot}$. It has very high accretion rate and exhibits rapid variability in the optical to X-ray bands. Despite these peculiar properties, the source has never been probed in detail. Using the capabilities of \textit{AstroSat}, we intend to probe the mechanism that drives the observed rapid variability as a test of the standard accretion disk theory of active galactic nuclei (AGNs). This is especially important because recent \textit{Swift} monitorings have shown that while the optical/UV variability of AGNs mostly results from reprocessing of X-rays in the disk, the measured lags are about three times longer than predicted. We will also check for Comptonisation lags where seed UV photons are upscattered into X-rays in the corona. The expected lag time-scales are $\sim10-15\,\mathrm{ks}$. To achieve these goals, we request $20\,\mathrm{ks}$ observing time for \rm{Mrk 382} with UVIT as the primary instrument.%",adegoke
204,2019-02-22 11:48:37,T03_083,T01,T03_083T01_9000002728,MAXI J1348-630,207.053042,-63.274111,laxpc1,,
205,2019-02-22 21:14:41,A05_227,T06,A05_227T06_9000002730,V1185 Tau,54.752333,29.696000,uvit1,"We propose to understand the accretion mechanism in Herbig Ae/Be stars, which are intermediate mass pre-main sequence stars. Magnetospheric accretion model was suggested as the mechanism for accretion in T Tauri stars. However, there is no clear consensus whether this model works for Herbig Ae/Be stars. We propose to address this problem from UVIT observations of a sample of 7 Herbig Ae/Be stars, covering a broad spectral range from early B to late A. Such a broad range of spectral type is employed to see whether other accretion mechanisms such as disc accretion works in Herbig Be stars. From UVIT observations in NUV and FUV bands and carefully modeling the spectral energy distribution we can identify whether UV continuum excess is seen in Herbig Ae/Be stars. The identification of UV excess confirms the fact that magnetospheric accretion model is the mechanism for accretion in Herbig Ae/Be stars.",amithgovind
206,2019-02-23 05:16:18,A05_199,T01,A05_199T01_9000002732,NGC 4051,180.790058,44.531330,uvit1,"Swift observations of lags between the X-ray and UV/optical bands in AGN show that most of the UV/optical variability is driven by reprocessing of X-rays by a surrounding disc. However the implied disc sizes are bigger than expected, there is an excess lag in the U-band, possibly from the BLR, and a large excess lag between the X-rays and UV, possibly from scattering obscuration in the inner disc. Disc temperature may explain these discrepancies as a higher temperature leads to a more inflated inner disc and hence more scattering obscuration and a more distant BLR hence larger U-band excess. Cooler discs will be more clumpy and appear bigger. Unfortunately, most AGN observed by Swift have been of similar disc temperature. We, therefore, ask to measure lags in NGC4051, with a hotter disc, to determine whether the temperature is the critical parameter. NGC4051 is perfectly suited to observations with ASTROSAT.",imh
207,2019-02-26 00:37:15,A05_144,T02,A05_144T02_9000002734,SU Lyn,100.729750,55.474233,uvit1,"Recently proposed non-shell burning class of symbiotics posed a challenge for the understanding of their morphology and structure. With no or weak diagnostic lines available in visible as well as variable nature of red giant component dominating in near infrared, the ultra-violet (UV) observations are the most reliable methods to probe these rare objects. We have been allocated UVIT observing time in last AO cycle 4 for single pointing observation to reconstruct spectral energy distribution (SED) of one such object - SU Lyn. Here we propose regular UVIT monitoring observations (once a month) in single NUV silica filter to see the eclipsing effects in UV continuum over the period of 7-8 months. We also propose two pointing observations 6 months apart for Grism spectroscopy to detect any phase related change in FUV spectra of SU Lyn. SXT is requested to be secondary instrument for a plausible UV-X-ray correlation studies.",mudit
208,2019-02-26 14:26:46,A05_072,T02,A05_072T02_9000002736,NGC 5024,198.230417,18.169167,uvit2,"Recent studies have shown that most of the Globular clusters (GCs) have multiple stellar populations. GCs also harbour exotic stars such as blue straggler stars (BSS, products of stellar collision, merger or mass transfer), horizontal branch (HB) and extreme HB stars which are found more in the core of the GCs. The HST treasury is a goldmine for the GC cores (inner 3 arcmin) in the optical and near-UV wavelengths. UVIT has the unique capability to create a complimentary treasury in the Far and near UV passbands, for not only the core, but also the full cluster. We propose to study selected GCs from the HST treasury survey, that have wide field photometry from ground observations. This UVIT+HST+Ground treasury will be a unique data set, covering the entire cluster in the FUV, NUV and optical passbands. We request for 2 FUV and one NUV pass band observations for 8 clusters.",annapurni
209,2019-02-27 09:58:45,A05_082,T12,A05_082T12_9000002738,SDSS J142722.83+200549.4,216.845142,20.097040,uvit1,"We propose to map the UV emission around dual nuclei in late-stage galaxy mergers and interacting systems. Our targets have been observed by GALEX but not with the Hubble Space Telescope UVIS camera. The higher spatial resolution of UVIT compared to GALEX will help us resolve the dual cores and study the disk star-formation triggered by the merging process. Our targets are all low redshift, UV bright sources. We have observed a total of 11 merging galaxies with dual nuclei in previous ASTROSAT cycles and the preliminary results have been presented in meetings in India. With the help of the radio and optical follow-up observations, we have confirmed Dual AGN in a few targets. We have found signatures of AGN-feedback induced star-formation in some of the galaxies using the UVIT data. Hence we have selected four more merger remnants to increase the sample for a better statistical sample.",rubinur
210,2019-02-27 16:30:11,A05_075,T09,A05_075T09_9000002740,KISSR692/698*,230.412500,29.125000,uvit2,"Low-mass galaxies are thought to play a large role in reionizing the Universe at redshifts, z>6. However, due to the lack of high quality UV data on low-mass galaxies, the models used to estimate the escape of radiation are poorly constrained. We propose to use AstroSat-UVIT to greatly improve on the GALEX measured UV spectral slopes for 24 low-mass starforming galaxies at z<0.1 selected from the KISSR survey. AstroSat UVIT filters are uniquely well-suited for these measurements. The proposed observations, combined with already developed theoretical models, will allow us to predict the escape of FUV/ionizing radiation from low-mass galaxies in a more robust way than has been possible to date. These predictions will be key to interpreting studies of the first stars in the early universe that will be performed with the James Webb Space Telescope (JWST).",av0897
211,2019-02-28 09:02:23,T03_083,T01,T03_083T01_9000002742,MAXI J1348-630,207.053042,-63.274111,laxpc1,,
212,2019-02-28 18:41:12,A05_075,T08,A05_075T08_9000002744,KISSR615,225.537500,29.746111,uvit2,"Low-mass galaxies are thought to play a large role in reionizing the Universe at redshifts, z>6. However, due to the lack of high quality UV data on low-mass galaxies, the models used to estimate the escape of radiation are poorly constrained. We propose to use AstroSat-UVIT to greatly improve on the GALEX measured UV spectral slopes for 24 low-mass starforming galaxies at z<0.1 selected from the KISSR survey. AstroSat UVIT filters are uniquely well-suited for these measurements. The proposed observations, combined with already developed theoretical models, will allow us to predict the escape of FUV/ionizing radiation from low-mass galaxies in a more robust way than has been possible to date. These predictions will be key to interpreting studies of the first stars in the early universe that will be performed with the James Webb Space Telescope (JWST).",av0897
213,2019-03-01 10:58:59,A05_212,T07,A05_212T07_9000002746,HE 1351-1721,208.457083,-17.610556,uvit2,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",nkrao
214,2019-03-01 17:34:08,A05_187,T03,A05_187T03_9000002748,FR Cnc,128.127208,15.823942,sxt,"We request 35 ks ASTROSAT observations of a highly active star FR Cnc in order to characterize it in X-ray and to study the X-ray rotational modulation. We intended to study the variation of X-ray spectral parameters (e.g. coronal temperature, density) with rotational phase and their correlation with the chromospheric and photospheric activities (cool spots) by performing the rotational phase-resolved X-ray spectroscopy.",jcpandey
215,2019-03-03 06:26:18,A05_103,T02,A05_103T02_9000002750,OH 231.8 +4.2,115.603750,-14.591806,uvit1,The discovery of a novel FUV lobes and jets around NGC 6302 by UVIT opened a new window into the study of planetary nebulae. We would like to further this study to more young planetary nebulae.,nkrao
216,2019-03-03 12:55:22,A05_104,T02,A05_104T02_9000002752,arp82,122.811250,25.193060,uvit1,"We propose to study the UV emission from a sample of 8 interacting galaxies from the ARP catalog that have bright, star forming disks, extended tidal tails or bridges and are at different stages of merging. The tidal structures are bright at UV wavelengths and some have clumps associated with tidal dwarf galaxies. Most of them also have one or more bright active galactic nuclei (AGN). The galaxies are nearby and have sizes of several arcminutes. The high sensitivity and spatial resolution of UVIT will enable us to isolate massive star forming regions in the disks, tails, bridges and separate the AGN from the disk UV emission. We will compare the star formation rates, colors and metallicities over different parts of the galaxies and model the ages of the star forming regions. We will also study how the nuclear activity and star formation enrich the environment around the galaxies.",mousumi
217,2019-03-03 18:03:12,A05_082,T12,A05_082T12_9000002754,SDSS J142722.83+200549.4,216.845142,20.097040,uvit1,"We propose to map the UV emission around dual nuclei in late-stage galaxy mergers and interacting systems. Our targets have been observed by GALEX but not with the Hubble Space Telescope UVIS camera. The higher spatial resolution of UVIT compared to GALEX will help us resolve the dual cores and study the disk star-formation triggered by the merging process. Our targets are all low redshift, UV bright sources. We have observed a total of 11 merging galaxies with dual nuclei in previous ASTROSAT cycles and the preliminary results have been presented in meetings in India. With the help of the radio and optical follow-up observations, we have confirmed Dual AGN in a few targets. We have found signatures of AGN-feedback induced star-formation in some of the galaxies using the UVIT data. Hence we have selected four more merger remnants to increase the sample for a better statistical sample.",rubinur
218,2019-03-04 01:11:40,A05_188,T01,A05_188T01_9000002756,Vela Pulsar,128.836062,-45.176432,laxpc1,"We ask for 50 ks of observations of the Vela pulsar with the three X-ray instruments onboard the ASTROSAT. The Vela pulsar was among the first pulsars to be discovered in several energy ranges from the radio to the TeV range because of its brightness. Its non-thermal emission provides constraints on the pulsar models as well as on particle acceleration and emission mechanisms. Yet, no publication of the Vela pulsar exists in hard X-rays, i. e. the major part of the sensitivity range of ASTROSAT LAXPC. Previous measurements have shown a power-law emission up to 8 keV. The proposed observations should help establish for the first time the light curve and the spectrum in hard X-rays. Moreover, we will probe the cut-off in the spectrum if any. In either cases, this will have important implications on pulsar models.",Marion
219,2019-03-05 07:15:15,A05_167,T01,A05_167T01_9000002758,HCG77,237.321667,21.828333,uvit1,"We propose to image interacting galaxies in three Hickson groups, HCG77, HCG79 and HCG54 with UVIT. Interactions and mergers between galaxies can lead to distortions in their shapes and to enhanced star formation in them. The 1.3$-$1.5 arcsec resolution of the UVIT in nuv and fuv will help us study the tidally induced distortions in their shapes and resolve the star formation regions (SFRs) in them. The FUV-NUV colors combined with photometric colors from ground based observations will lead to the study of metallicities and ages of the star forming regions. Comparison with studies of isolated galaxies will help us quantify the enhancement of the star formation due to interactions. Data from existing Sloan Digital Sky Survey (SDSS) would be used (augmented by further ground based observations). Our observations will provide a much clearer picture of the SFRs compared to archival data from Galex.",hkjassal
220,2019-03-05 22:10:02,A05_075,T07,A05_075T07_9000002760,KISSR2407,219.620833,33.335278,uvit2,"Low-mass galaxies are thought to play a large role in reionizing the Universe at redshifts, z>6. However, due to the lack of high quality UV data on low-mass galaxies, the models used to estimate the escape of radiation are poorly constrained. We propose to use AstroSat-UVIT to greatly improve on the GALEX measured UV spectral slopes for 24 low-mass starforming galaxies at z<0.1 selected from the KISSR survey. AstroSat UVIT filters are uniquely well-suited for these measurements. The proposed observations, combined with already developed theoretical models, will allow us to predict the escape of FUV/ionizing radiation from low-mass galaxies in a more robust way than has been possible to date. These predictions will be key to interpreting studies of the first stars in the early universe that will be performed with the James Webb Space Telescope (JWST).",av0897
221,2019-03-06 10:58:14,A05_072,T02,A05_072T02_9000002762,NGC 5024,198.230417,18.169167,uvit2,"Recent studies have shown that most of the Globular clusters (GCs) have multiple stellar populations. GCs also harbour exotic stars such as blue straggler stars (BSS, products of stellar collision, merger or mass transfer), horizontal branch (HB) and extreme HB stars which are found more in the core of the GCs. The HST treasury is a goldmine for the GC cores (inner 3 arcmin) in the optical and near-UV wavelengths. UVIT has the unique capability to create a complimentary treasury in the Far and near UV passbands, for not only the core, but also the full cluster. We propose to study selected GCs from the HST treasury survey, that have wide field photometry from ground observations. This UVIT+HST+Ground treasury will be a unique data set, covering the entire cluster in the FUV, NUV and optical passbands. We request for 2 FUV and one NUV pass band observations for 8 clusters.",annapurni
222,2019-03-07 03:04:42,A05_075,T05,A05_075T05_9000002764,KISSR1814*,218.475000,42.653611,uvit2,"Low-mass galaxies are thought to play a large role in reionizing the Universe at redshifts, z>6. However, due to the lack of high quality UV data on low-mass galaxies, the models used to estimate the escape of radiation are poorly constrained. We propose to use AstroSat-UVIT to greatly improve on the GALEX measured UV spectral slopes for 24 low-mass starforming galaxies at z<0.1 selected from the KISSR survey. AstroSat UVIT filters are uniquely well-suited for these measurements. The proposed observations, combined with already developed theoretical models, will allow us to predict the escape of FUV/ionizing radiation from low-mass galaxies in a more robust way than has been possible to date. These predictions will be key to interpreting studies of the first stars in the early universe that will be performed with the James Webb Space Telescope (JWST).",av0897
223,2019-03-07 11:26:16,A05_075,T06,A05_075T06_9000002766,KISSR1786,216.637500,43.854167,uvit2,"Low-mass galaxies are thought to play a large role in reionizing the Universe at redshifts, z>6. However, due to the lack of high quality UV data on low-mass galaxies, the models used to estimate the escape of radiation are poorly constrained. We propose to use AstroSat-UVIT to greatly improve on the GALEX measured UV spectral slopes for 24 low-mass starforming galaxies at z<0.1 selected from the KISSR survey. AstroSat UVIT filters are uniquely well-suited for these measurements. The proposed observations, combined with already developed theoretical models, will allow us to predict the escape of FUV/ionizing radiation from low-mass galaxies in a more robust way than has been possible to date. These predictions will be key to interpreting studies of the first stars in the early universe that will be performed with the James Webb Space Telescope (JWST).",av0897
224,2019-03-07 17:54:54,A05_075,T01,A05_075T01_9000002768,KISSR1347*,188.933333,42.856667,uvit2,"Low-mass galaxies are thought to play a large role in reionizing the Universe at redshifts, z>6. However, due to the lack of high quality UV data on low-mass galaxies, the models used to estimate the escape of radiation are poorly constrained. We propose to use AstroSat-UVIT to greatly improve on the GALEX measured UV spectral slopes for 24 low-mass starforming galaxies at z<0.1 selected from the KISSR survey. AstroSat UVIT filters are uniquely well-suited for these measurements. The proposed observations, combined with already developed theoretical models, will allow us to predict the escape of FUV/ionizing radiation from low-mass galaxies in a more robust way than has been possible to date. These predictions will be key to interpreting studies of the first stars in the early universe that will be performed with the James Webb Space Telescope (JWST).",av0897
225,2019-03-07 22:45:12,A05_104,T03,A05_104T03_9000002770,arp84,209.649171,37.438890,uvit1,"We propose to study the UV emission from a sample of 8 interacting galaxies from the ARP catalog that have bright, star forming disks, extended tidal tails or bridges and are at different stages of merging. The tidal structures are bright at UV wavelengths and some have clumps associated with tidal dwarf galaxies. Most of them also have one or more bright active galactic nuclei (AGN). The galaxies are nearby and have sizes of several arcminutes. The high sensitivity and spatial resolution of UVIT will enable us to isolate massive star forming regions in the disks, tails, bridges and separate the AGN from the disk UV emission. We will compare the star formation rates, colors and metallicities over different parts of the galaxies and model the ages of the star forming regions. We will also study how the nuclear activity and star formation enrich the environment around the galaxies.",mousumi
226,2019-03-08 08:21:26,A05_083,T01,A05_083T01_9000002772,M3,205.546779,28.375450,uvit1,"Globular Clusters (GCs) house exotic stellar populations and are the only sites where the products of direct collision of stars (Blue Straggler stars, BSS) are found. GCs also have accreting binaries, WDs and Horizontal branch stars, which are all bright in the UV. In the UV, all these stars stand out from the swamp of the cooler main-sequence stars and red giants. Our study on NGC 1851 (Subramaniam et al. 2017) suggest that the colour-magnitude diagrams using UVIT filters create definite diagnostic regions which can be used to detect and identify these systems. Exploiting the resolution and filter system of the UVIT, we plan to derive the multi-wavelength SEDs and estimate the fundamental properties such as mass, temperature and Luminosity. NGC 5272 (M3) is one such cluster with many UV bright stars located in the cluster.",snehalata
227,2019-03-08 14:48:22,A05_082,T10,A05_082T10_9000002774,SDSS J133638.35+203232.9,204.159779,20.542480,uvit1,"We propose to map the UV emission around dual nuclei in late-stage galaxy mergers and interacting systems. Our targets have been observed by GALEX but not with the Hubble Space Telescope UVIS camera. The higher spatial resolution of UVIT compared to GALEX will help us resolve the dual cores and study the disk star-formation triggered by the merging process. Our targets are all low redshift, UV bright sources. We have observed a total of 11 merging galaxies with dual nuclei in previous ASTROSAT cycles and the preliminary results have been presented in meetings in India. With the help of the radio and optical follow-up observations, we have confirmed Dual AGN in a few targets. We have found signatures of AGN-feedback induced star-formation in some of the galaxies using the UVIT data. Hence we have selected four more merger remnants to increase the sample for a better statistical sample.",rubinur
228,2019-03-08 19:53:01,A05_212,T06,A05_212T06_9000002776,HD 113679,196.470083,-38.516667,uvit2,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",nkrao
229,2019-03-08 22:06:01,A05_176,T03,A05_176T03_9000002778,NGC4841Aoffset,194.300865,28.492366,uvit1,"Elliptical galaxies have wide variation in their FUV-NUV color, the cause of which has puzzled astronomers for decades. The FUV-NUV color correlates with Mg2 spectral index but the explanation has been elusive. Solving the puzzle requires a large dataset with both UV imaging and optical spectroscopy with the same spatial resolution and coverage. Previous UV imaging by GALEX has too poor a spatial resolution to match ground-based single-fiber spectrsocopy from SDSS. With the advance of optical integral field spectroscopy providing spatial resolution at 2.5\arcsec\ for nearby galaxies, we urgently need high quality FUV images with similar spatial resolution. Therefore, we propose ASTROSAT/UVIT observations to obtain high resolution FUV images for a pilot sample of 3 ellipticals, complemented with NUV images from Swift, to measure the FUV-NUV color gradients and correlate them with stellar population properties (age, metallicity, chemical abundance) measured from spectroscopy to understand UV color variations among ellipticals.",renbin
230,2019-03-09 10:23:10,A05_118,T04,A05_118T04_9000002782,NGC4214,183.913333,36.326944,uvit1,"This project will characterize with unprecedented accuracy the young stellar clusters in a sample of four nearby star-forming galaxies, NGC3344 and NGC4214, by combining two highly complementary tools: ultraviolet imagery of the underlying ionizing stellar populations using UVIT (this proposal) with imaging spectroscopy in the visible of the ionized gas using SITELLE. A set of UVIT filters is selected (FUV-F2, FUV-F5, NUV-F2, NUV-F3, NUV-F5, and VIS1) to cover sensitive regions over the spectral energy distribution of young stellar clusters. While SITELLE provides, with a spatial resolution similar to UVIT, a measurement of the gas emission lines, stellar cluster parameters revealed by UVIT will become inputs for a photoionization code used to gather the gas properties. The combined information from the ionized gas and stellar populations will allow us to study the impact of star formation and different mixing mechanisms on the evolution of galaxies.",carobert
231,2019-03-09 16:47:17,C04_001,T01,C04_001T01_9000002784,Blank Sky-8,237.391917,70.348089,laxpc1,"The LAXPC instrument has a large detection volume which gives rise to high background rate. Further, observations during the last two years have shown that the background rate is not constant, but varies during each orbit and also has some long term variation which is not properly understood. In order to produce a robust LAXPC background model we need frequent observations of the blank sky for at least one day which cover entire latitude and longitude range of the AstroSat orbit. These observations are important to analyse data of faint sources like AGNs, Blazars, etc., whose count rates are less than 10% of the LAXPC instrument background. Many of these sources have count rates less than 1% of the background. We propose observation of the Blank Sky-8 during December 2018, March 2019, June 2019 and September 2019.",tilak
232,2019-03-10 15:20:00,A06_003,T01,A06_003T01_9000002786,NGC 4449,187.046258,44.093630,uvit1,"We propose to use UVIT for a survey of nearby star-forming galaxies. YPULS will cover a volume-limited sample of local (D < 10Mpc) galaxies to provide a large homogeneous UV imaging database of spatially resolved young stellar complexes, at a mean resolution of 25 pc. These data will: 1) quantify the impact of the environment on the star formation process, 2) link stellar feedback mechanisms to the small-scale physics, and 3) measure variations of the star formation properties with respect to the indicators used for high redshift galaxies. YPULS targets have data from LEGUS (NUV-NIR maps at HST resolution of selected regions) and SIGNALS (mapfping ionized gas in the visible). UVIT/FUV, with these and other complementary data, will be inputs for photoionization codes, vital to study star formation and galaxy evolution. YPULS data will also be rich and valuable for investigating many other phenomena, like X-ray binaries and supernova remnants.",hutchingsj
233,2019-03-11 15:50:31,A06_005,T01,A06_005T01_9000002788,NGC 3201,154.403417,-46.412472,uvit1,"Globular Clusters (GCs) harbour exotic stars such as blue straggler stars (BSS), horizontal branch (HB) and extreme HB (EHB) stars which are found concentrated in the core of the GCs. The HST UV Globular cluster survey (Nardiello et al. 2018) has 56 GC observed in near-UV to optical filters. This treasury lacks FUV coverage, which is necessary to characterise the hot HB stars and BSS population. UVIT has the unique capability to create a complimentary treasury in the Far-UV passbands for the hot stars in the core of each cluster. In this proposal, we propose to image 8 clusters which are not imaged by so far UVIT, to create a FUV added HUGS catalog (see Scientific justification).  The primary science goals are (1) a complete census of hot stars (2) identification of BSS formation pathways and (3) Effect of Helium abundance, age and metallicity on the morphology of the HB.",annapurni
